episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.15940837499999816,True,False
2,500.0,718,1103,0.15,0.025121678804190688,0.7565700830000424,True,False
3,860.0,652,1755,0.15,0.030187124842806418,2.9398334999999634,True,False
4,350.0,372,2127,0.15,0.033279620576024016,4.107266624999966,True,False
5,840.0,877,3004,0.15,0.03475042635903016,6.7483343330000025,True,False
6,1060.0,686,3690,0.15,0.035339010061937175,8.814677625000058,True,False
7,550.0,694,4384,0.15,0.03147548087906017,10.844715749999978,True,False
8,440.0,613,4997,0.15,0.032088352433478864,12.712740124999982,True,False
9,330.0,459,5456,0.15,0.032303439213327415,14.120627125000055,True,False
10,400.0,518,5974,0.15,0.033215451625522315,15.93682375000003,True,False
11,310.0,375,6349,0.15,0.031742011539965,17.040313500000025,True,False
12,570.0,605,6954,0.15,0.03568496966822418,19.158605917000045,True,False
13,1010.0,704,7658,0.15,0.03736680574762762,21.32755608299999,True,False
14,690.0,946,8604,0.15,0.0363963395239243,24.10533504199998,True,False
15,400.0,440,9044,0.15,0.03564014333003963,25.402324333000024,True,False
16,1160.0,611,9655,0.15,0.03401893282486861,27.157443833000002,True,False
17,970.0,844,10499,0.15,0.03812106708186056,29.596629667000002,True,False
18,390.0,654,11153,0.15,0.03649756371003871,31.70035900000005,True,False
19,830.0,633,11786,0.15,0.03737662600270838,33.542417624999985,True,False
20,710.0,727,12513,0.15,0.039729100916851924,36.246158082999955,True,False
21,490.0,503,13016,0.15,0.04009338533542755,37.751329166999994,True,False
22,1400.0,673,13689,0.15,0.04224653900711842,40.20323074999999,True,False
23,250.0,303,13992,0.15,0.04402269358979538,41.676085167,True,False
24,1400.0,782,14774,0.15,0.04260253148416105,44.59281429199996,True,False
25,430.0,494,15268,0.15,0.044370566372714575,46.366593833000024,True,False
26,2080.0,973,16241,0.15,0.042492685886483195,50.54797579199999,True,False
27,700.0,630,16871,0.15,0.043921705528168355,52.60294254200005,True,False
28,960.0,748,17619,0.15,0.04815834976687908,55.26746187499998,True,False
29,290.0,406,18025,0.15,0.04438286316672377,56.93577575000006,True,False
30,900.0,945,18970,0.15,0.04619028962560598,60.02402625000002,True,False
31,440.0,384,19354,0.15,0.05277517729458244,61.435044791999985,True,False
32,350.0,451,19805,0.15,0.047990252745988886,62.95027516699997,True,False
33,580.0,530,20335,0.15,0.05195577622560615,64.71308241700001,True,False
34,580.0,529,20864,0.15,0.05030013610349786,66.50175091699998,True,False
35,370.0,464,21328,0.15,0.0500510523882534,68.350995958,True,False
36,1400.0,951,22279,0.15,0.054871898184762284,71.749918375,True,False
37,1050.0,688,22967,0.15,0.05043797755375678,74.30677854199996,True,False
38,420.0,442,23409,0.15,0.0573248301909582,75.88907237499996,True,False
39,380.0,392,23801,0.15,0.05661725002455012,77.26439325000001,True,False
40,910.0,665,24466,0.15,0.05417812783102763,79.50225083300006,True,False
41,220.0,282,24748,0.15,0.055844288876831114,80.50183604200004,True,False
42,650.0,736,25484,0.15,0.05987680450071702,83.08094937500005,True,False
43,970.0,656,26140,0.15,0.05478726322024425,85.328813792,True,False
44,550.0,606,26746,0.15,0.05664168382741955,87.51463408300003,True,False
45,1260.0,627,27373,0.15,0.06295940138779249,89.89791524999998,True,False
46,400.0,584,27957,0.15,0.0608249365364852,91.88674600000002,True,False
47,400.0,411,28368,0.15,0.06084375417095075,93.25434579199998,True,False
48,2370.0,771,29139,0.15,0.05833732567649955,95.73678125000004,True,False
49,240.0,324,29463,0.15,0.06861450939358753,96.73827104199995,True,False
50,1400.0,1095,30558,0.15,0.06683490006593022,100.21257345799995,True,False
51,730.0,473,31031,0.15,0.06349253991492472,103.18398937500001,True,False
52,430.0,482,31513,0.15,0.06412549747523567,105.63233924999997,True,False
53,480.0,442,31955,0.15,0.062096376742490314,107.135915458,True,False
54,750.0,689,32644,0.15,0.07298233642140566,109.76372904200002,True,False
55,880.0,676,33320,0.15,0.060892703105315305,112.06166004199997,True,False
56,410.0,516,33836,0.15,0.06642582354879425,113.91399358299998,True,False
57,620.0,629,34465,0.15,0.07264779510486657,116.30888062500003,True,False
58,2350.0,927,35392,0.15,0.06702415448420777,120.44055304200003,True,False
59,540.0,638,36030,0.15,0.0692653067017548,123.17146895799999,True,False
60,450.0,427,36457,0.15,0.0778251896116221,124.81068358300001,True,False
61,370.0,467,36924,0.15,0.06669420934019563,126.78098341700002,True,False
62,380.0,476,37400,0.15,0.0688933115061216,128.95917920800002,True,False
63,450.0,454,37854,0.15,0.06832186352725314,130.709367833,True,False
64,460.0,419,38273,0.15,0.07324478153937629,132.22851783299996,True,False
65,460.0,369,38642,0.15,0.07428755530196687,133.81711237499997,True,False
66,220.0,328,38970,0.15,0.0699968971539198,135.149702542,True,False
67,1100.0,552,39522,0.15,0.07947037326495933,137.65372120799998,True,False
68,310.0,344,39866,0.15,0.07630232315467195,139.24751816699995,True,False
69,1380.0,893,40759,0.15,0.07614762620841709,143.75431454199997,True,False
70,450.0,549,41308,0.15,0.07899872368822496,146.420129708,True,False
71,1050.0,757,42065,0.15,0.08541243678086964,149.94724354200002,True,False
72,1000.0,853,42918,0.15,0.07606843301475467,153.80835308300004,True,False
73,460.0,516,43434,0.15,0.07567824416093585,156.15081604199997,True,False
74,1330.0,853,44287,0.15,0.08238353772622319,159.93370504200004,True,False
75,340.0,372,44659,0.15,0.08449369870246418,161.52813183299997,True,False
76,320.0,331,44990,0.15,0.08653195933943772,164.04048550000005,True,False
77,580.0,627,45617,0.15,0.07690493212597575,167.363574417,True,False
78,840.0,605,46222,0.15,0.08012729450838257,169.97558070800005,True,False
79,1060.0,825,47047,0.15,0.07838654612163895,173.04319850000002,True,False
80,510.0,424,47471,0.15,0.10403076916019309,174.84898704199998,True,False
81,400.0,542,48013,0.15,0.08807382005376413,177.02976458299997,True,False
82,350.0,437,48450,0.15,0.08337413059086154,178.695295,True,False
83,340.0,404,48854,0.15,0.08716044097327359,180.04023162500005,True,False
84,330.0,359,49213,0.15,0.08372274688962433,181.45151120800006,True,False
85,780.0,638,49851,0.15,0.08340960854676159,183.71891616699997,True,False
86,330.0,457,50308,0.15,0.08685138944698417,185.287284375,True,False
87,840.0,706,51014,0.15,0.10209288011008705,187.67854887500005,True,False
88,640.0,549,51563,0.15,0.10590483628920395,189.58700983300002,True,False
89,1020.0,689,52252,0.15,0.10124926742790752,192.01550225000005,True,False
90,780.0,673,52925,0.15,0.08963874479689236,194.31993158299997,True,False
91,380.0,368,53293,0.15,0.08823681207697677,195.640746542,True,False
92,1190.0,945,54238,0.15,0.09887391194243426,198.70387837500004,True,False
93,600.0,442,54680,0.15,0.11048234350610155,200.087359667,True,False
94,390.0,535,55215,0.15,0.10566955464506957,201.78362333300004,True,False
95,460.0,628,55843,0.15,0.10405807459287962,203.80017850000002,True,False
96,1260.0,975,56818,0.15,0.10646508919594229,206.92797862500004,True,False
97,1610.0,969,57787,0.15,0.10039636496577628,209.98613754200005,True,False
98,650.0,534,58321,0.15,0.09530364776224788,211.68696991700006,True,False
99,550.0,617,58938,0.15,0.09612367904515236,213.63346670800001,True,False
100,630.0,481,59419,0.15,0.09441536720842122,215.15390875000003,True,False
101,1270.0,593,60012,0.15,0.09230524811568676,217.90848983299998,True,False
102,890.0,775,60787,0.15,0.10432192688045415,220.37560274999998,True,False
