episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.15785320798750035,True,False
2,430.0,702,1087,0.25,0.023104248658372937,0.6601751249982044,True,False
3,800.0,670,1757,0.25,0.02605249097784205,2.463379624998197,True,False
4,500.0,762,2519,0.25,0.029159673213603368,4.515182624993031,True,False
5,620.0,759,3278,0.25,0.03138925576502898,6.571064957999624,True,False
6,280.0,428,3706,0.25,0.03425846778446043,7.734152915989398,True,False
7,510.0,682,4388,0.25,0.02854011641619237,9.5736629999883,True,False
8,290.0,429,4817,0.25,0.032011792589214015,10.746533499986981,True,False
9,310.0,467,5284,0.25,0.03229973220110186,12.026267040986568,True,False
10,930.0,700,5984,0.25,0.030271601385569998,13.915307540999493,True,False
11,460.0,521,6505,0.25,0.03298007963010325,15.325062332995003,True,False
12,220.0,355,6860,0.25,0.032187034705591,16.295497040991904,True,False
13,480.0,618,7478,0.25,0.034629107465024116,17.982243415986886,True,False
14,390.0,502,7980,0.25,0.03191240630131067,19.44575949999853,True,False
15,850.0,618,8598,0.25,0.03815668524891537,21.24337466599536,True,False
16,380.0,475,9073,0.25,0.03669042946935138,22.622610165999504,True,False
17,320.0,422,9495,0.25,0.0400880698846387,23.812587540989625,True,False
18,870.0,716,10211,0.25,0.03882030889719683,25.761375832997146,True,False
19,470.0,607,10818,0.25,0.03974735205472251,27.430708790998324,True,False
20,170.0,307,11125,0.25,0.04124095051416329,28.29930262498965,True,False
21,540.0,637,11762,0.25,0.03860955186694884,30.02657783299219,True,False
22,450.0,563,12325,0.25,0.037612034666768095,31.568108457999188,True,False
23,420.0,569,12894,0.25,0.036872109103108376,33.121638082986465,True,False
24,420.0,490,13384,0.25,0.04131093641035107,34.467812124988995,True,False
25,430.0,436,13820,0.25,0.04166513049137702,35.667353124998044,True,False
26,1150.0,785,14605,0.25,0.04250825523892988,38.464482332987245,True,False
27,430.0,510,15115,0.25,0.04159647856992999,39.86349949998839,True,False
28,880.0,656,15771,0.25,0.04505854690299801,41.665813915999024,True,False
29,350.0,388,16159,0.25,0.0436576456023553,42.78578216599999,True,False
30,870.0,723,16882,0.25,0.04744406545133387,44.77462529100012,True,False
31,370.0,516,17398,0.25,0.04721656861144674,46.198801749997074,True,False
32,1130.0,691,18089,0.25,0.04647899244109847,48.09359845799918,True,False
33,400.0,496,18585,0.25,0.05173905404479874,49.46728945799987,True,False
34,610.0,707,19292,0.25,0.04916034420915369,51.41206329099077,True,False
35,490.0,516,19808,0.25,0.04511334779022565,52.92729649999819,True,False
36,930.0,727,20535,0.25,0.047923326933530075,54.9494099579897,True,False
37,660.0,738,21273,0.25,0.04976833972425477,57.044239165988984,True,False
38,2450.0,844,22117,0.25,0.051323480087539876,59.36734245799016,True,False
39,850.0,596,22713,0.25,0.04956445972678945,61.01063362498826,True,False
40,830.0,501,23214,0.25,0.05089650624617934,62.395581999997376,True,False
